country,iso_code,health,life_expec,total_fer,health_expenditure_pct_gdp,life_expectancy,physicians_per_1000,vaccination_dpt,social_schooling,security_apparatus,group_grievance,refugees_idps,external_intervention,inflation_log,hiv_prevalence_log,exports_log,tb_incidence_log,income_log,maternal_mortality_log,gdpp_log,imports_log,social_undernourishment_log,child_mortality_log,social_poverty_2_15_log,child_mort_log
Bolivia,BOL,4.84,71.6,3.2,5.89613628,66.97,1.569,85.0,86.31873,6.6,6.5,3.8,6.2,2.280339484046726,0.262364264467491,3.742420221041966,4.90527477843843,8.596189197642735,5.147494476813453,7.591357046698551,3.563882963939251,2.9014215940827497,3.380994674344636,1.8870696490323797,3.8628327612373745
Bosnia and Herzegovina,BIH,11.1,76.8,1.31,9.4710331,77.089,2.083,86.0,92.83565970871412,6.2,7.1,7.3,8.2,0.8754687373538999,0.18647892791902504,3.4242626545931514,3.9512437185814275,9.18204377282107,2.0794415416798357,8.436200032206706,3.9569963710708773,1.252762968495368,2.0412203288596382,0.7884573603642702,2.066862759472976
Botswana,BWA,8.3,57.1,2.88,5.8804059,62.167,0.371,95.0,87.65678,3.5,5.4,5.2,4.6,2.2945529212967815,3.139832617527748,3.7977338590260183,6.154858094016418,9.495594499353297,5.3612921657094255,8.756367559802975,3.9569963710708773,3.0492730404820207,3.912023005428146,3.109060958860994,3.979681653901961
Brazil,BRA,9.01,74.2,1.8,8.39644146,74.823,2.198,93.0,94.84088,5.9,5.9,3.1,2.7,2.2417729535972883,0.4054651081081644,2.4595888418037104,3.7376696182833684,9.581972891547895,4.1588830833596715,9.32375833901174,2.5494451709255714,1.252762968495368,2.8507065015037334,1.7578579175523736,3.0349529867072724
Brunei Darussalam,BRN,2.84,77.1,1.84,1.9143680300000003,74.862,1.485,99.0,92.53427,5.6,5.9,2.7,4.1,2.8735646395797834,0.170465938668393,4.225372824628505,4.204692619390966,11.297266335365645,3.713572066704308,10.471666571132038,3.367295829986474,1.4535057928032769,2.451005098112319,0.8592935916043143,2.4423470353692043
Bulgaria,BGR,6.87,73.9,1.57,7.68306208,74.4658536585366,3.978,88.0,92.61403,4.1,5.2,3.5,4.8,0.7466879474879752,0.09531017980432493,3.9357395320454622,3.6635616461296463,9.635673464721814,2.0794415416798357,8.830689198760998,3.9889840465642745,1.6486586255873816,2.272125885509337,1.308332819650179,2.468099531471619
Burkina Faso,BFA,6.74,57.9,5.87,5.00027227,58.331,0.04699999999999993,91.0,67.7983,7.4,5.0,7.1,7.5,2.0554049638515948,0.5877866649021191,3.005682604407159,4.2626798770413155,7.266128779556451,5.84354441703136,6.3561076606958915,3.4210000089583352,2.667228206581955,4.6568134191399295,4.089332020398556,4.762173934797756
Burundi,BDI,11.6,57.7,6.26,7.21081543,59.764,0.05600000000000005,95.0,95.37413,7.7,8.0,9.0,8.4,2.5877640352277083,0.8754687373538999,2.2945529212967815,4.875197323201151,6.639875833826536,6.280395838960195,5.446737371666309,3.6938669956249757,3.156696678422695,4.2710950739666,4.341204640153626,4.549657476057832
Cambodia,KHM,5.68,66.1,2.88,4.40784645,69.117,0.16700000000000004,90.0,95.04806,6.7,7.4,5.8,7.4,1.415853163361435,0.5877866649021191,4.009149716158869,5.87493073085203,7.83241092718792,5.153291594497779,6.668228248417403,4.102643365036796,2.2082744135228043,3.4965075614664802,2.468440122316351,3.8155121050473024
Cameroon,CMR,5.13,57.3,5.11,4.34148788,59.13,0.17920401689414867,76.0,91.7001,7.6,8.1,7.800000000000001,7.0,1.0681530811834012,1.62924053973028,3.1441522786722644,5.424950017481403,7.886457270977689,6.089044875446846,7.1785454837637,3.332204510175204,1.7047480922384253,4.536891345234797,3.4011973816621555,4.6913478822291435
Canada,CAN,11.3,81.3,1.63,10.28115654,81.7843902439025,2.4961,91.0,99.39113,2.2,3.9,2.0,1.0,1.3532545070416904,0.18232155679395468,3.40452517175483,1.791759469228055,10.614007941153417,2.5649493574615367,10.766398604507042,3.4657359027997265,1.252762968495368,1.8562979903656263,0.26236426446749106,1.8870696490323797
Cabo Verde,CPV,4.09,72.5,2.67,4.85231543,73.788,0.4610000000000001,95.0,93.20062,5.7,4.0,4.1,8.1,0.4087928982008391,0.5877866649021191,3.517497837358316,4.406719247264253,8.670943791222156,3.8918202981106265,8.105005537547246,4.139955073474153,2.8507065015037334,3.086486636822455,2.747270914255491,3.3141860046725258
Central African Republic,CAF,3.98,47.5,5.21,4.56557369,40.265,0.07000000000000006,45.0,63.8246,9.8,9.6,10.0,9.8,1.1019400787607843,1.6094379124341003,2.5494451709255714,6.2422232654551655,6.790097235513905,6.942156705699469,6.102558594613569,3.3141860046725258,3.462606009790799,5.235377566774162,3.8230518021261055,5.0106352940962555
Chad,TCD,4.53,56.5,6.59,3.29708338,51.141,0.04300000000000015,36.0,79.09656,8.8,8.2,10.0,8.3,2.0001277349601105,0.9162907318741551,3.632309102625542,5.093750200806762,7.565793282428515,7.089243155027514,6.8001700683022,3.7954891891721947,3.265759410767051,4.892602227184663,3.832979798087693,5.017279836814924
Chile,CHL,7.96,79.1,1.88,7.84150171,79.714,2.016,95.0,93.42186,3.1000000000000005,4.1,2.1,2.6,2.298577071596507,0.33647223662121295,3.655839600035736,2.8903717578961645,9.873079890114703,2.833213344056216,9.465060106725137,3.475067230228611,1.4586150226995167,2.2082744135228043,0.5306282510621703,2.272125885509337
China,CHN,5.07,74.6,1.59,4.69880247,76.714,1.711,99.0,93.53608329404322,5.9,8.3,5.6,3.2,2.0719132752590443,0.23822989449321014,3.3068867021909143,4.219507705176107,9.162304922937626,3.367295829986474,8.4252971767117,3.1612467120315646,1.252762968495368,2.533696813957432,1.7227665977411035,2.8154087194227095
Colombia,COL,7.59,76.4,2.01,7.18553209,75.95,1.96,90.0,90.46317,7.3,8.0,7.800000000000001,6.5,1.5810384379124023,0.4054651081081644,2.8273136219290276,3.5553480614894135,9.296609807128359,4.276666119016055,8.740496729931813,2.9338568698359038,1.916922612182061,2.833213344056216,2.4765384001174837,2.975529566236472
Comoros,COM,4.51,65.9,4.75,5.23849726,64.143,0.2909999999999999,80.0,80.85214,7.2,5.0,4.5,7.8,1.5830939370944985,0.09531017980432493,2.8622008809294686,3.7612001156935624,7.252053951852814,5.5134287461649825,6.646390514847729,3.9646154555473165,2.740840023925201,3.9318256327243257,3.4781584227982836,4.490881039585964
"Congo, The Democratic Republic of the",COD,7.91,57.5,6.540000000000001,3.72520614,58.236,0.13195409653514045,73.0,73.19774105871943,9.5,9.5,9.4,9.8,3.0819099697950434,0.7419373447293773,3.7400477406883357,6.135564891081739,6.413458957167357,6.326149473155099,5.814130531825066,3.92395157629342,3.459466289786131,4.540098189244376,4.380775852772229,4.762173934797756
Congo,COG,2.46,60.4,4.95,1.9731173499999999,63.349,0.10200000000000031,90.0,87.88284,6.7,6.6,8.3,7.6,3.077312260546414,1.4586150226995167,4.455509411433685,5.902633333401366,8.55468163582723,5.713732805509369,7.916078096302786,4.019980146933238,3.517497837358316,4.0163830207523885,3.6439921499512185,4.1728476237100445
Costa Rica,CRI,10.9,80.4,1.92,7.66376209,80.231,2.659,91.0,96.98747,3.1000000000000005,4.7,3.9,4.3,2.0241930674493576,0.33647223662121295,3.5322256440685598,2.6390573296152584,9.472781556562168,3.332204510175204,9.012011377036412,3.58351893845611,1.308332819650179,2.322387720290225,1.2237754316221157,2.4159137783010487
Côte d'Ivoire,CIV,5.3,56.3,5.27,3.7310183,57.772,0.2140000000000002,73.0,72.34108,8.3,8.7,9.0,9.7,1.8547342683894434,1.3609765531356006,3.9435216724875173,5.159055299214529,7.897668150726906,6.259581464064923,7.107425474110705,3.7909846770510898,2.747270914255491,4.4953553199808844,3.8628327612373745,4.718498871295094
Croatia,HRV,7.76,76.3,1.55,6.56612396,77.7243902439024,3.153,95.0,88.74208,4.0,5.7,4.9,4.4,0.5993858007454709,0.09531017980432493,3.653252276470785,2.772588722239781,9.908524844053396,1.6094379124341,9.510519035757246,3.66612246699132,1.252762968495368,1.791759469228055,0.7884573603642702,1.8718021769015913
Cyprus,CYP,5.97,79.9,1.4200000000000002,6.93137264,81.337,2.396,99.0,96.91133,4.4,7.0,4.5,9.2,1.1019400787607843,0.2689497260227906,3.9357395320454622,1.667706820558076,10.431199791458543,2.4849066497880004,10.335302435967074,4.069026754237811,1.252762968495368,1.2809338454620642,0.09531017980432455,1.5260563034950492
Czech Republic,CZE,7.88,77.5,1.51,7.53919601,78.8243902439024,3.9345,97.0,88.11683,2.6000000000000005,3.8,2.0,2.6,-0.8878912573524571,0.20312446843126009,4.204692619390966,1.9021075263969203,10.250652418696085,1.3862943611198904,9.893487720457795,4.157319361383489,1.252762968495368,1.410986973710262,0.0,1.4816045409242156
Denmark,DNK,11.4,79.5,1.87,10.31388664,80.7,3.877,94.0,98.03298,1.5,3.6,1.4,1.3999999999999995,1.4398351280479207,0.09531017980432493,3.9415818076696905,2.0149030205422647,10.691967639914864,1.791759469228055,10.968215530759236,3.7977338590260183,1.252762968495368,1.62924053973028,0.18232155679395468,1.62924053973028
Dominican Republic,DOM,6.22,74.6,2.6,4.80942917,73.145,1.1271312260717927,91.0,89.28355,5.2,5.8,3.8,5.9,1.8625285401162623,0.7419373447293773,3.1654750481410856,4.110873864173311,9.314790473332646,4.564348191467836,8.603554357064281,3.535145354171894,2.2407096892759584,3.580737295494233,1.62924053973028,3.5667118201397288
Ecuador,ECU,8.06,76.7,2.66,6.76601839,76.141,1.684,83.0,91.35484,6.7,7.8,5.2,5.6,2.136530508663963,0.33647223662121295,3.3638415951183864,3.8066624897703196,9.143238568435446,4.189654742026425,8.446985296372741,3.5085558999826545,2.2512917986064953,2.8273136219290276,1.6094379124341003,3.261935314328648
Egypt,EGY,4.66,70.5,3.19,4.77415323,69.911,0.73,94.0,98.0269,8.2,8.7,6.7,7.1,2.4069451083182885,0.09531017980432493,3.104586678466073,2.6390573296152584,9.19634286233233,3.295836866004329,7.8636512654486515,3.3178157727231046,1.9600947840472698,3.3357695763397,0.7884573603642702,3.40452517175483
El Salvador,SLV,6.91,74.1,2.27,8.5989418,71.144,1.5662,94.0,88.23495,6.5,6.3,5.1,5.3,1.2947271675944,0.4054651081081644,3.32862668882732,3.8918202981106265,8.895766604056085,3.7376696182833684,8.003363058629947,3.8628327612373745,2.341805806147327,2.791165107812717,2.0794415416798357,3.005682604407159
Equatorial Guinea,GNQ,4.48,60.9,5.21,1.8685590000000003,60.228,0.32499999999999973,53.0,43.48324,7.0,6.3,3.3,5.5,3.254242968705492,0.7927743209704516,4.463606621666305,5.497168225293202,10.425282789490705,5.429345628954441,9.746892220313054,4.092676505121403,2.5414724893077736,4.56746831880408,3.454783940693847,4.718498871295094
Eritrea,ERI,2.66,61.7,4.61,3.91432381,65.517,0.06600000000000006,94.0,63.25635,7.7,6.1,7.800000000000001,8.2,2.533696813957432,0.5877866649021191,1.7561322915849038,5.231108616854587,7.259116128097101,6.066108090103747,6.180016653652572,3.190476350346503,2.7571692756963784,3.893859034800475,3.569999314942117,4.028916756899646
Estonia,EST,6.03,76.0,1.72,6.26286125,77.0341463414634,3.361,93.0,94.15752,3.1000000000000005,6.5,2.9,3.1,1.007957920399979,0.5877866649021191,4.33204826486764,3.2188758248682006,10.030164255362632,2.0794415416798357,9.588845298501564,4.244200317766478,1.252762968495368,1.4816045409242156,0.6931471805599454,1.704748092238425
Fiji,FJI,4.86,65.3,2.67,3.36860466,66.581,0.813,99.0,98.72797,6.7,7.0,3.4,7.2,1.6544112780768316,0.09531017980432493,4.074141854904581,4.31748811353631,8.902591637374087,3.6635616461296463,8.202756381655638,4.1728476237100445,2.0794415416798357,3.0726933146901194,0.9555114450274363,3.2228678461377385
Finland,FIN,8.95,80.0,1.87,9.83066177,81.1804878048781,3.448,98.0,99.36498,1.4000000000000004,1.6000000000000005,1.5,1.0,0.3008450589780618,0.15769622800720895,3.681351187693145,1.856297990365626,10.591647316585027,2.0794415416798357,10.740756721857226,3.648057459593681,1.252762968495368,1.2809338454620642,0.09531017980432455,1.3862943611198906
France,FRA,11.9,81.4,2.03,11.579354290000001,82.719512195122,3.169,92.0,97.56809,2.3,6.8,2.2,1.3999999999999995,0.7178397931503169,0.262364264467491,3.3250360206965914,2.2512917986064953,10.515993929932415,2.302585092994046,10.611547975828369,3.370738174177447,1.252762968495368,1.62924053973028,0.0,1.6486586255873816
Gabon,GAB,3.5,62.9,4.08,2.5328226100000006,66.07,0.3400000000000001,70.0,83.10221260310537,5.0,3.7,5.0,5.1,2.8678989020441064,1.6094379124341003,4.072439726834051,6.198478716492308,9.642187721358466,5.6131281063880705,9.076923258535832,2.990719731730447,2.6602595372658615,3.845883202923601,3.178940354492008,4.169761201506855
Gambia,GMB,5.69,65.5,5.71,3.05234575,62.576,0.09600000000000009,96.0,65.84188,6.0,3.7,6.4,7.5,1.667706820558076,1.0647107369924282,3.2108436531709366,5.170483995038151,7.415175109613295,6.331501849893691,6.333279628139691,3.7773481021015445,2.4932054526026954,4.133565275375382,2.89591193827178,4.398146016553765
Georgia,GEO,10.1,72.8,1.92,8.2940836,73.105,5.081,91.0,99.10612,7.3,7.8,7.4,7.3,2.256541154492639,0.18232155679395468,3.58351893845611,4.859812404361672,8.814479000010714,3.4965075614664802,7.993282328101591,3.9852734671677386,2.028148247292285,2.4849066497880004,2.5649493574615367,2.8622008809294686
Germany,DEU,11.6,80.1,1.39,10.76819706,81.090243902439,4.088,93.0,87.89669,2.1000000000000005,4.6,3.0,1.2999999999999998,0.5641767992629851,0.09531017980432493,3.768152635008444,1.9315214116032138,10.606609816118151,1.791759469228055,10.640675541671662,3.6402142821326553,1.252762968495368,1.6094379124341003,0.09531017980432455,1.6486586255873816
Ghana,GHA,5.22,62.2,4.27,4.01644135,62.832,0.10799999999999987,98.0,86.99201,4.1,4.6,5.5,6.6,2.8678989020441064,1.0296194171811581,3.417726683613366,5.111987788356544,8.026496938945412,5.762051382780177,7.1785454837637,3.8480176754522337,2.272125885509337,4.023564380161053,3.6888794541139363,4.3267781604434035
Greece,GRC,10.3,80.4,1.48,7.94358587,81.3853658536585,5.867000000000001,99.0,96.53303,4.5,5.0,1.6,5.9,0.514618422004687,0.18232155679395468,3.139832617527748,1.916922612182061,10.264687244346277,1.6094379124341,10.199918739620157,3.456316680883235,1.252762968495368,1.6486586255873816,1.0986122886681098,1.589235205116581
Grenada,GRD,5.86,71.3,2.24,4.77353573,75.045,1.352,97.0,90.47747797638117,5.6,3.8,3.2,7.1,0.39204208777602356,0.6260300931067572,3.2108436531709366,-4.440892098500626e-16,9.32375833901174,3.828641396489095,8.905308661189288,3.9160150266976834,1.88848872739627,2.9014215940827497,1.5039595389742981,2.747270914255491
Guatemala,GTM,6.85,71.3,3.38,5.8885684,70.942,0.28600000000000003,74.0,85.56198,7.0,7.9,5.5,5.4,1.814824742159051,0.262364264467491,3.288401887516811,3.1780538303479458,8.811503250158239,4.718498871295094,7.9483852851118995,3.6189933266497696,2.8273136219290276,3.407841924380824,2.1972245773362196,3.594568774642695
Guinea,GIN,4.93,58.0,5.34,4.787992,57.581,0.16100000000000003,52.0,76.90338,8.9,8.7,8.7,8.1,2.8390784635086144,0.9932517730102833,3.4436180975461075,5.19295685089021,7.0825485693553,6.499787040655854,6.47543271670409,3.7887247890836524,2.681021528714291,4.757032535297338,3.672621142954648,4.700480365792417
Guinea-Bissau,GNB,8.5,55.6,5.05,9.96897411,59.476,0.19799999999999995,86.0,71.25324,8.8,5.7,7.800000000000001,8.8,1.3787660946990992,1.4816045409242156,2.766319109226186,5.389071729816501,7.237778191923443,6.4967749901858625,6.306275286948016,3.5890591188317256,3.4372078191851885,4.566429357671661,4.33990170837321,4.74493212836325
Guyana,GUY,5.38,65.5,2.65,3.94755435,67.334,0.7903748660273546,98.0,93.15013,5.8,6.5,3.6,6.5,1.9065751436566365,0.8754687373538999,3.9589065913269965,4.61512051684126,8.67265729404031,4.804021044733257,8.019941687677365,4.383275854074314,1.9021075263969205,3.563882963939251,2.0283599061662594,3.653252276470785
Haiti,HTI,6.91,32.1,3.33,4.52035809,62.969,0.08699999999999997,63.0,74.94806214742597,7.5,6.7,8.2,9.9,1.864080130807681,0.9932517730102833,2.791165107812717,5.820082930352362,7.313886831633462,5.924255797414532,6.4967749901858625,4.185098925490565,3.6584202466292277,4.275276264727001,4.114034897613727,5.342334251964811
Hungary,HUN,7.33,74.5,1.25,7.04192352,75.7634146341463,3.325,99.0,91.07825,2.4,4.7,2.5,4.0,1.2029723039923526,0.31527542036056755,4.416428061391214,2.484906649788001,10.012386799492118,2.6390573296152584,9.48044384215367,4.350277936359301,1.252762968495368,1.840549633397487,0.6931471805599454,1.9459101490553132
Iceland,ISL,9.4,82.0,2.2,8.29044247,82.8609756097561,3.643,90.0,98.12777,1.0,1.2999999999999998,1.4,4.6,1.8671761085128091,0.09531017980432493,3.996364153861897,1.2237754316221157,10.566201298475118,1.6094379124341,10.643064971973882,3.7909846770510898,1.252762968495368,1.2809338454620642,0.0,1.2809338454620642
India,IND,4.05,66.2,2.6,3.61956549,68.932,0.7149999999999999,85.0,92.25734,7.9,8.3,5.4,5.3,2.300583090323373,0.3765873916027027,3.1612467120315646,5.497168225293202,8.39185670010494,4.927253685157205,7.208600337960199,3.3357695763397,2.6100697927420065,3.858622228701031,3.3357695763397,4.091005660956586
Indonesia,IDN,2.6099999999999994,69.9,2.48,2.9643356799999996,69.292,0.27,88.0,90.00059,6.2,7.3,5.9,5.3,2.791165107812717,0.33647223662121295,3.2308043957334744,5.799092654460526,9.039670667922676,5.293304824724492,8.042699496897637,3.152736022363656,2.174751721484161,3.342861804649192,3.2846635654062037,3.535145354171894
Iran,IRN,5.6,74.5,1.76,6.81539536,75.635,1.43,99.0,98.63946,8.0,8.5,6.5,7.0,2.8273136219290276,0.20301067813512547,3.2347491740244907,3.091042453358316,9.76428295481558,3.1780538303479458,8.784315349902657,3.0155349008501706,2.1972245773362196,2.8390784635086144,1.0647107369924282,3.0106208860477417
Iraq,IRQ,8.41,67.2,4.56,2.78786659,69.679,0.823,73.0,82.6302312745456,10.0,10.0,8.9,9.4,2.8678989020441064,0.09531017980432493,3.6988297849671046,3.5553480614894135,9.44943600950432,4.51085950651685,8.412054873292933,3.55820113047182,2.791165107812717,3.4436180975461075,2.5827343237302673,3.634951112088381
Ireland,IRL,9.19,80.4,2.05,9.23077869,81.3487804878049,3.012,96.0,95.35688,1.7999999999999998,1.8999999999999995,1.4,1.8999999999999995,-1.4398351280479205,0.18232155679395468,4.6443908991413725,2.1972245773362196,10.729875458480967,1.791759469228055,10.793454842740767,4.471638793363569,1.252762968495368,1.5686159179138452,0.33647223662121295,1.6486586255873816
Israel,ISR,7.63,81.4,3.03,7.02990532,82.1536585365854,3.442,95.0,96.71318,7.0,9.7,7.4,7.6,1.0188473201992472,0.1376620676022685,3.58351893845611,1.8870696490323797,10.295563423525277,1.3862943611198904,10.328787967145063,3.5234150143864045,1.252762968495368,1.6094379124341003,0.4700036292457357,1.7227665977411035
Italy,ITA,9.53,81.7,1.46,8.85913563,83.090243902439,3.888,95.0,97.13266,4.4,4.9,3.7,2.2,0.27687387373517747,0.262364264467491,3.265759410767051,2.0412203288596382,10.49684202174171,2.1972245773362196,10.485731104959568,3.339321977944068,1.252762968495368,1.5260563034950492,0.8754687373539,1.6094379124341003
Jamaica,JAM,4.81,74.7,2.17,6.28673887,72.357,0.391,92.0,84.96535,6.3,3.9,3.0,5.7,2.3804716316511167,0.8754687373538999,3.475067230228611,1.686398953570229,8.987321812850125,4.61512051684126,8.45126704130007,3.92395157629342,2.1400661634962708,2.9856819377004897,1.8314268128877345,2.9496883350525844
Japan,JPN,9.49,82.8,1.39,10.7290144,83.5878048780488,2.354,96.0,97.43799907316543,1.4000000000000004,4.2,3.1,3.6,-1.064710736992428,0.21155226773334534,2.772588722239781,2.995732273553991,10.485731104959568,1.791759469228055,10.703266939811954,2.681021528714291,1.252762968495368,1.3609765531356006,0.5306282510621703,1.4350845252893227
Jordan,JOR,8.04,75.8,3.66,7.20892906,74.606,2.236,98.0,74.83179,5.5,7.7,8.8,6.8,2.2438960966453663,0.09531017980432493,3.8979240810486444,2.0014800002101243,9.155989777226102,3.784189633918261,8.210939733379021,4.248495242049359,2.151762203259462,2.8903717578961645,0.09531017980432455,3.095577608523707
Kazakhstan,KAZ,4.29,68.4,2.6,2.9746844800000005,71.415,3.865,95.0,86.52115,5.7,7.0,3.5,4.7,3.0204248861443626,0.18232155679395468,3.8110970868381857,4.465908118654584,9.908524844053396,2.70805020110221,9.112837790614945,3.4307561839036995,1.252762968495368,2.6390573296152584,0.09531017980432455,3.1135153092103742
Kenya,KEN,4.75,62.8,4.37,4.91267347,61.99,0.19899999999999984,92.0,86.49272899943179,8.4,9.0,8.3,8.0,1.128171090909654,1.7749523509116738,3.077312260546414,6.049733455231958,7.816416983691801,5.318119993844216,6.875232087276577,3.543853682063679,2.995732273553991,3.8979240810486444,3.655839600035736,4.146304301152812
