country,iso_code,gdpp_log,child_mort_log,life_expec,health,physicians_per_1000,total_fer,hiv_prevalence_log,social_schooling,social_undernourishment_log,security_apparatus,refugees_idps
Russian Federation,RUS,9.278092474027002,2.3978952727983707,69.2,5.08,4.12,1.57,0.21118973327819518,94.3729,1.252762968495368,9.1,5.7
Rwanda,RWA,6.335054251498059,4.168214410788556,64.6,10.5,0.08899999999999975,4.51,1.4586150226995167,98.84059,3.6402142821326553,6.2,7.9
Samoa,WSM,8.146419323098003,2.990719731730447,71.5,6.47,0.32899999999999996,4.34,0.5522433583947757,96.01723,1.6863989535702288,5.2,2.1
Saudi Arabia,SAU,9.867912187022208,2.8154087194227095,75.1,4.29,2.371,2.96,0.09531017980432493,97.28258,1.308332819650179,6.4,4.6
Senegal,SEN,6.90875477931522,4.216562194946349,64.0,5.66,0.20740000000000003,5.06,0.33647223662121295,73.74412,2.4932054526026954,6.2,7.800000000000001
Serbia,SRB,8.596189197642735,2.151762203259462,74.7,10.4,3.03,1.4,0.09531017980432493,96.24177,1.252762968495368,6.0,7.0
Seychelles,SYC,9.287394001418473,2.7343675094195836,73.4,3.4,1.849,2.17,0.48778715112554566,94.46217,1.7749523509116738,6.6,3.1
Sierra Leone,SLE,5.991464547107982,5.081404364984463,55.0,13.099999999999998,0.16021072004818437,5.2,0.9555114450274363,95.11907,3.186352633162641,4.8,8.2
Singapore,SGP,10.74937727911096,1.33500106673234,82.7,3.96,2.15,1.1499999999999997,0.09531017980432493,99.69504,1.3117363582371215,1.5999999999999996,1.1
Slovak Republic,SVK,9.717218213494077,2.0794415416798357,75.5,8.79,3.43,1.43,0.09531017980432493,83.89503,1.9021075263969205,2.3,2.0
Slovenia,SVN,10.060534035475412,1.4350845252893227,79.5,9.41,2.775,1.57,0.09531017980432493,98.14499,1.252762968495368,2.1000000000000005,1.4
Solomon Islands,SLB,7.1631723908466425,3.370738174177447,61.7,8.55,0.18100000000000005,4.24,0.09531017980432493,70.22557,2.995732273553991,6.4,4.9
South Africa,ZAF,8.893023494394711,4.001863709427935,54.3,8.94,0.74,2.59,2.9601050959108397,84.35479,2.0014800002101243,5.3,5.9
South Korea,KOR,10.003378135350923,1.62924053973028,80.1,6.93,2.21,1.23,0.2443980930681549,95.3693,1.252762968495368,2.1000000000000005,1.5
Spain,ESP,10.332050506334692,1.5686159179138452,81.9,9.54,3.781,1.37,0.33647223662121295,99.47472,1.252762968495368,3.3,1.7000000000000002
Sri Lanka,LKA,7.941295570906532,2.501435951739211,74.4,2.9400000000000004,0.807,2.2,0.09531017980432493,97.26222,1.9600947840472698,7.9,8.2
Saint Vincent and the Grenadines,VCT,8.737292112544221,3.077312260546414,71.6,4.47,1.4711601556953948,2.07,0.6931471805599453,90.44287,1.7227665977411035,5.762684099522423,3.4884128391748273
Sudan,SDN,7.300472814267799,4.3528552573736015,66.3,6.32,0.3959999999999999,4.88,0.09531017980432493,56.31639,2.2407096892759584,9.5,10.0
Suriname,SUR,9.024131268455035,3.2228678461377385,70.3,7.01,1.006,2.52,0.9555114450274363,86.34084,2.1972245773362196,5.4,3.0
Sweden,SWE,10.860939421415225,1.3862943611198906,81.5,9.63,4.109,1.98,0.09531017980432493,99.46083,1.252762968495368,2.1000000000000005,2.3
Switzerland,CHE,11.219909190927746,1.704748092238425,82.2,11.5,4.125,1.52,0.18232155679395468,93.77291,1.252762968495368,1.4000000000000004,2.1
Tajikistan,TJK,6.6052979209482015,3.977810745966149,69.6,5.98,1.727,3.51,0.18232155679395468,97.68778,2.970414465569701,6.8,4.8
Tanzania,TZA,6.555356891810665,4.289088639014612,59.3,6.01,0.06000000000000005,5.43,1.7047480922384253,83.32041,3.095577608523707,5.5,6.4
Thailand,THA,8.533263371593732,2.766319109226186,76.6,3.88,0.45300000000000007,1.55,0.9162907318741551,95.34190227630228,2.2192034840549946,8.9,6.0
Timor-Leste,TLS,8.188966863648876,4.152613470346076,71.1,9.12,0.6779999999999999,6.23,0.18232155679395468,91.41095,2.760009940032921,7.7,6.8
Togo,TGO,6.192362489474872,4.514150787600923,58.7,7.65,0.04699999999999993,4.87,1.2237754316221157,90.31769,3.044522437723423,7.0,7.1
Tonga,TON,8.174984532943087,2.91235066461494,69.9,5.07,0.8228108479085339,3.91,0.43451801524041056,85.94145,2.0948796971827535,6.095350686484444,4.072138411292169
Tunisia,TUN,8.328692583545568,2.91235066461494,76.9,6.21,1.253,2.14,0.09531017980432493,97.80391,1.3609765531356006,7.8,4.1
Türkiye,TUR,9.278092474027002,3.0007198150650303,78.2,6.74,1.738,2.15,0.2597193061911079,94.56716,1.252762968495368,7.7,7.5
Turkmenistan,TKM,8.398634855292102,4.143134726391533,67.9,2.5,2.002,2.83,0.3846565932327497,94.51130787406524,1.5260563034950492,6.8,3.9
Uganda,UGA,6.39024066706535,4.406719247264253,56.8,9.01,0.09699999999999998,6.15,2.066862759472976,95.49324,3.2108436531709366,7.6,8.8
Ukraine,UKR,7.9966538754626075,2.5416019934645457,70.4,7.72,2.936,1.44,0.38539505912353794,91.66472,1.252762968495368,7.9,4.4
United Arab Emirates,ARE,10.463131911491967,2.2617630984737906,76.5,3.66,2.232,1.87,0.09531017980432493,90.21069,1.5040773967762742,3.1000000000000005,2.2
United Kingdom,GBR,10.568775236216993,1.824549292051046,80.3,9.64,2.738,1.92,0.18232155679395468,99.89948,1.252762968495368,2.5,2.4
United States,USA,10.78727575364831,2.1162555148025524,78.7,17.9,3.516592855317785,1.93,0.20606298253098365,93.2305,1.252762968495368,2.8,2.1
Uruguay,URY,9.38437770918244,2.451005098112319,76.4,8.35,4.008,2.08,0.2477514690772245,96.62933,1.252762968495368,3.7,1.9
Uzbekistan,UZB,7.2305631534092925,3.6189933266497696,68.8,5.81,2.39,2.34,0.1596004534231904,94.09132,1.252762968495368,7.6,6.0
Vanuatu,VUT,7.9966538754626075,3.407841924380824,63.0,5.25,0.16899999999999982,3.5,0.09531017980432493,79.84105,2.128231705849268,6.4499072223308165,5.571976581913231
Venezuela,VEN,9.510519035757246,2.89591193827178,75.4,4.91,1.664,2.47,0.4054651081081644,91.56032,1.252762968495368,6.5,4.8
Vietnam,VNM,7.1785454837637,3.190476350346503,73.1,6.84,0.783,1.95,0.33647223662121295,97.96511,2.2300144001592104,5.1,4.7
Yemen,YEM,7.1785454837637,4.048300623720694,67.5,5.18,0.27,4.67,0.09531017980432493,85.43356,2.562314105495968,10.0,9.1
Zambia,ZMB,7.2868764117507,4.432006566978902,52.0,5.89,0.09000000000000008,5.4,2.557227311367626,86.61205,3.6454498961866,5.0,6.9
