country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,iso_code,child_mortality,health_expenditure_pct_gdp,hiv_prevalence,life_expectancy,maternal_mortality,physicians_per_1000,tb_incidence,vaccination_dpt,social_poverty_mpi,social_literacy,social_poverty_2_15,social_schooling,social_undernourishment
Brazil,19.8,10.7,9.01,11.8,14500,8.41,74.2,1.8,11200,BRA,16.3,8.39644146,0.5,74.823,63.0,2.198,41.0,93.0,3.8,91.4800033569336,4.8,94.84088,2.5
Brunei Darussalam,10.5,67.4,2.84,28.0,80600,16.7,77.1,1.84,35300,BRN,10.6,1.91436803,,74.862,40.0,1.485,66.0,99.0,,96.0899963378906,,92.53427,
Bulgaria,10.8,50.2,6.87,53.0,15300,1.11,73.9,1.57,6840,BGR,8.7,7.68306208,0.1,74.4658536585366,7.0,3.978,38.0,88.0,,98.3499984741211,2.7,92.61403,4.2
Burkina Faso,116.0,19.2,6.74,29.6,1430,6.81,57.9,5.87,575,BFA,104.3,5.00027227,0.8,58.331,344.0,0.047,70.0,91.0,,34.5999984741211,58.7,67.7983,13.4
Burundi,93.6,8.92,11.6,39.2,764,12.3,57.7,6.26,231,BDI,70.6,7.21081543,1.4,59.764,533.0,0.056,130.0,95.0,75.1,61.2900009155273,75.8,94.87551,
Cambodia,44.4,54.1,5.68,59.5,2520,3.12,66.1,2.88,786,KHM,32.0,4.40784645,0.8,69.117,172.0,0.167,355.0,90.0,,79.6500015258789,,95.04806,8.1
Cameroon,108.0,22.2,5.13,27.0,2660,1.91,57.3,5.11,1310,CMR,92.4,4.34148788,4.1,59.13,440.0,,226.0,76.0,43.6,71.1900024414062,29.0,91.7001,4.5
Canada,5.6,29.1,11.3,31.0,40700,2.87,81.3,1.63,47400,CAN,5.4,10.28115654,0.2,81.7843902439025,12.0,2.4961,5.0,91.0,,,0.3,99.39113,2.5
Cabo Verde,26.5,32.7,4.09,61.8,5830,0.505,72.5,2.67,3310,CPV,20.9,4.85231543,0.8,73.788,48.0,0.461,81.0,95.0,,85.3300018310547,14.6,93.20062,16.3
Central African Republic,149.0,11.8,3.98,26.5,888,2.01,47.5,5.21,446,CAF,186.8,4.56557369,4.0,40.265,1034.0,0.07,513.0,45.0,80.4,,,66.29549,30.9
Chad,150.0,36.8,4.53,43.5,1930,6.39,56.5,6.59,897,TCD,132.3,3.29708338,1.5,51.141,1198.0,0.043,162.0,36.0,,22.3099994659424,45.2,79.09656,25.2
Chile,8.7,37.7,7.96,31.3,19400,8.96,79.1,1.88,12900,CHL,8.1,7.84150171,0.4,79.714,16.0,2.016,17.0,95.0,,96.2699966430664,0.7,93.42186,3.3
China,15.7,26.3,5.07,22.6,9530,6.94,74.6,1.59,4560,CHN,11.6,4.69880247,,76.714,28.0,1.711,67.0,99.0,3.9,95.120002746582,4.6,,2.5
Colombia,18.6,15.9,7.59,17.8,10900,3.86,76.4,2.01,6250,COL,16.0,7.18553209,0.5,75.95,71.0,1.96,34.0,90.0,4.8,94.1900024414062,10.9,90.46317,5.8
Comoros,88.2,16.5,4.51,51.7,1410,3.87,65.9,4.75,769,COM,50.0,5.23849726,0.1,64.143,247.0,0.291,42.0,80.0,,73.6494960644007,31.4,80.85214,14.5
"Congo, The Democratic Republic of the",116.0,41.1,7.91,49.6,609,20.8,57.5,6.54,334,COD,92.7,3.72520614,1.1,58.236,558.0,,461.0,73.0,64.5,75.0199966430664,78.9,,30.8
Congo,63.9,85.1,2.46,54.7,5190,20.7,60.4,4.95,2740,COG,54.5,1.97311735,3.3,63.349,302.0,0.102,365.0,90.0,24.3,,39.2,87.88284,32.7
Costa Rica,10.2,33.2,10.9,35.0,13000,6.57,80.4,1.92,8200,CRI,9.2,7.66376209,0.4,80.231,27.0,2.659,13.0,91.0,0.5,97.4100036621094,2.4,96.98747,2.7
Côte d'Ivoire,111.0,50.6,5.3,43.3,2690,5.39,56.3,5.27,1220,CIV,88.6,3.7310183,2.9,57.772,522.0,0.214,173.0,73.0,,43.9099998474121,46.6,72.34108,14.6
Croatia,5.5,37.6,7.76,38.1,20100,0.821,76.3,1.55,13500,HRV,5.0,6.56612396,0.1,77.7243902439024,4.0,3.153,15.0,95.0,,,1.2,88.74208,2.5
Cyprus,3.6,50.2,5.97,57.5,33900,2.01,79.9,1.42,30800,CYP,2.6,6.93137264,,81.337,11.0,2.396,4.3,99.0,,98.6800003051758,0.1,96.91133,2.5
Czech Republic,3.4,66.0,7.88,62.9,28300,-1.43,77.5,1.51,19800,CZE,3.1,7.53919601,,78.8243902439024,3.0,3.9345,5.7,97.0,,,0.0,88.11683,2.5
Denmark,4.1,50.5,11.4,43.6,44000,3.22,79.5,1.87,58000,DNK,4.1,10.31388664,0.1,80.7,5.0,3.877,6.5,94.0,,,0.2,98.03298,2.5
Dominican Republic,34.4,22.7,6.22,33.3,11100,5.44,74.6,2.6,5450,DOM,34.9,4.80942917,1.1,73.145,95.0,,60.0,91.0,,90.8600006103516,4.1,89.28355,8.4
Ecuador,25.1,27.9,8.06,32.4,9350,7.47,76.7,2.66,4660,ECU,15.9,6.76601839,0.4,76.141,65.0,1.684,44.0,83.0,2.1,93.2900009155273,4.0,91.35484,8.5
Egypt,29.1,21.3,4.66,26.6,9860,10.1,70.5,3.19,2600,EGY,27.1,4.77415323,0.1,69.911,26.0,0.73,13.0,94.0,5.2,73.870002746582,1.2,98.0269,6.1
El Salvador,19.2,26.9,6.91,46.6,7300,2.65,74.1,2.27,2990,SLV,15.3,8.5989418,0.5,71.144,41.0,1.5662,48.0,94.0,7.9,86.7699966430664,7.0,88.23495,9.4
Equatorial Guinea,111.0,85.8,4.48,58.9,33700,24.9,60.9,5.21,17100,GNQ,95.3,1.868559,,60.228,227.0,0.325,243.0,53.0,,,,43.48324,
Eritrea,55.2,4.79,2.66,23.3,1420,11.6,61.7,4.61,482,ERI,48.1,3.91432381,0.8,65.517,430.0,0.066,186.0,94.0,,,,63.25635,
Estonia,4.5,75.1,6.03,68.7,22700,1.74,76.0,1.72,14600,EST,3.4,6.26286125,0.8,77.0341463414634,7.0,3.361,24.0,93.0,,99.8899993896484,1.0,94.15752,2.5
Fiji,24.1,57.8,4.86,63.9,7350,4.23,65.3,2.67,3650,FJI,20.6,3.36860466,0.1,66.581,38.0,0.813,74.0,99.0,,,1.6,98.72797,7.0
Finland,3.0,38.7,8.95,37.4,39800,0.351,80.0,1.87,46200,FIN,2.6,9.83066177,,81.1804878048781,7.0,3.448,5.4,98.0,,,0.1,99.36498,2.5
France,4.2,26.8,11.9,28.1,36900,1.05,81.4,2.03,40600,FRA,4.1,11.57935429,0.3,82.719512195122,9.0,3.169,8.5,92.0,,,0.0,97.56809,2.5
Gabon,63.7,57.7,3.5,18.9,15400,16.6,62.9,4.08,8750,GAB,45.8,2.53282261,4.0,66.07,273.0,0.34,491.0,70.0,,,3.8,,13.3
Gambia,80.3,23.8,5.69,42.7,1660,4.3,65.5,5.71,562,GMB,61.4,3.05234575,1.9,62.576,561.0,0.096,175.0,96.0,,50.7799987792969,17.1,65.84188,11.1
Georgia,16.5,35.0,10.1,52.8,6730,8.55,72.8,1.92,2960,GEO,11.0,8.2940836,0.2,73.105,32.0,5.081,128.0,91.0,0.3,99.5899963378906,12.0,99.10612,6.6
Germany,4.2,42.3,11.6,37.1,40400,0.758,80.1,1.39,41800,DEU,4.0,10.76819706,0.1,81.090243902439,5.0,4.088,5.9,93.0,,,0.1,87.89669,2.5
Ghana,74.7,29.5,5.22,45.9,3060,16.6,62.2,4.27,1310,GHA,54.9,4.01644135,1.8,62.832,317.0,0.108,165.0,98.0,,60.1981035367761,39.0,86.99201,8.7
Greece,3.9,22.1,10.3,30.7,28700,0.673,80.4,1.48,26900,GRC,4.2,7.94358587,0.2,81.3853658536585,4.0,5.867,5.8,99.0,,93.9100036621094,2.0,96.53303,2.5
Grenada,14.6,23.8,5.86,49.2,11200,0.48,71.3,2.24,7370,GRD,17.2,4.77353573,,75.045,45.0,1.352,0.0,97.0,,,0.8,95.86628,
Guatemala,35.4,25.8,6.85,36.3,6710,5.14,71.3,3.38,2830,GTM,29.2,5.8885684,0.3,70.942,111.0,0.286,23.0,74.0,28.9,77.0400009155273,8.0,85.56198,15.9
Guinea,109.0,30.3,4.93,43.2,1190,16.1,58.0,5.34,648,GIN,115.4,4.787992,1.7,57.581,664.0,0.161,179.0,52.0,66.2,32.0,21.3,76.90338,13.6
Guinea-Bissau,114.0,14.9,8.5,35.2,1390,2.97,55.6,5.05,547,GNB,95.2,9.96897411,3.4,59.476,662.0,0.198,218.0,86.0,64.4,,37.1,71.25324,30.1
Guyana,37.6,51.4,5.38,79.1,5840,5.73,65.5,2.65,3040,GUY,34.3,3.94755435,1.4,67.334,121.0,,100.0,98.0,,,,93.09037,5.7
Haiti,208.0,15.3,6.91,64.7,1500,5.45,32.1,3.33,662,HTI,70.9,4.52035809,1.7,62.969,373.0,0.087,336.0,63.0,41.3,73.953334886651,40.4,,37.8
Hungary,6.0,81.8,7.33,76.5,22300,2.33,74.5,1.25,13100,HUN,5.3,7.04192352,,75.7634146341463,13.0,3.325,11.0,99.0,,,1.0,91.07825,2.5
Iceland,2.6,53.4,9.4,43.3,38800,5.47,82.0,2.2,41900,ISL,2.6,8.29044247,0.1,82.8609756097561,4.0,3.643,2.4,90.0,,,0.0,98.12777,2.5
India,58.8,22.6,4.05,27.1,4410,8.98,66.2,2.6,1350,IND,46.4,3.61956549,,68.932,137.0,0.715,243.0,85.0,,69.8279300354369,27.1,92.25734,12.6
Indonesia,33.3,24.3,2.61,22.4,8430,15.3,69.9,2.48,3110,IDN,27.3,2.96433568,0.4,69.292,198.0,0.27,329.0,88.0,3.6,95.120002746582,25.7,90.00059,7.8
Iran,19.3,24.4,5.6,19.4,17400,15.9,74.5,1.76,6530,IRN,16.1,6.81539536,,75.635,23.0,1.43,21.0,99.0,,83.629997253418,1.9,98.63946,8.0
Iraq,36.9,39.4,8.41,34.1,12700,16.6,67.2,4.56,4500,IRQ,30.3,2.78786659,0.1,69.679,90.0,0.823,34.0,73.0,8.6,82.1999969482422,0.6,,15.3
Ireland,4.2,103.0,9.19,86.5,45700,-3.22,80.4,2.05,48700,IRL,3.8,9.23077869,0.2,81.3487804878049,5.0,3.012,8.0,96.0,,,0.4,95.35688,2.5
Israel,4.6,35.0,7.63,32.9,29600,1.77,81.4,3.03,30600,ISR,4.0,7.02990532,,82.1536585365854,3.0,3.442,5.6,95.0,,,0.6,96.71318,2.5
Italy,4.0,25.2,9.53,27.2,36200,0.319,81.7,1.46,35800,ITA,3.6,8.85913563,0.3,83.090243902439,8.0,3.888,6.7,95.0,,98.8499984741211,1.4,97.13266,2.5
Jamaica,18.1,31.3,4.81,49.6,8000,9.81,74.7,2.17,4680,JAM,18.8,6.28673887,1.4,72.357,100.0,0.391,4.4,92.0,2.8,,0.4,84.96535,7.5
Japan,3.2,15.0,9.49,13.6,35800,-1.9,82.8,1.39,44500,JPN,2.9,10.7290144,,83.5878048780488,5.0,2.354,19.0,96.0,,,0.7,,
Jordan,21.1,48.3,8.04,69.0,9470,8.43,75.8,3.66,3680,JOR,17.0,7.20892906,0.1,74.606,43.0,2.236,6.4,98.0,,97.8899993896484,0.1,74.83179,7.6
Kazakhstan,21.5,44.2,4.29,29.9,20100,19.5,68.4,2.6,9070,KAZ,13.0,2.97468448,0.2,71.415,14.0,3.865,86.0,95.0,0.5,99.7300033569336,0.1,86.52115,2.5
Kenya,62.2,20.7,4.75,33.6,2480,2.09,62.8,4.37,967,KEN,48.3,4.91267347,4.9,61.99,203.0,0.199,423.0,92.0,,,37.7,79.96782,19.0
Kiribati,62.7,13.3,11.3,79.9,1730,1.52,60.7,3.84,1490,KIR,58.0,8.9549551,,65.869,91.0,,870.0,75.0,19.8,,,97.4324,3.0
Kuwait,10.8,66.7,2.63,30.4,75200,11.2,78.2,2.21,38500,KWT,9.3,2.9159987,0.1,79.0803414634146,8.0,2.67,27.0,95.0,,95.5899963378906,,92.17298,2.5
Kyrgyz Republic,29.6,51.6,6.18,81.7,2790,10.0,68.5,3.1,880,KGZ,23.5,7.35766459,0.2,70.4024390243902,62.0,1.837,171.0,96.0,,99.2399978637695,8.1,89.78817,5.9
Lao,78.9,35.4,4.47,49.3,3980,9.2,63.8,3.15,1140,LAO,46.8,2.29845548,0.3,66.35,193.0,0.377,189.0,83.0,,84.6600036621094,21.7,96.5434,
Latvia,7.8,53.7,6.68,55.1,18300,-0.812,73.1,1.36,11300,LVA,5.6,5.66363621,0.6,74.1243902439024,22.0,3.216,57.0,92.0,,99.9000015258789,1.1,95.80158,2.5
Lebanon,10.3,35.8,7.03,60.2,16300,0.238,79.8,1.61,8860,LBN,12.8,7.52191401,0.1,78.148,14.0,2.045,16.0,83.0,,91.1800003051758,0.1,,5.3
Lesotho,99.7,39.4,11.1,101.0,2380,4.15,46.5,3.3,1170,LSO,77.6,9.98823929,24.7,50.786,707.0,,853.0,88.0,,97.2699966430664,41.9,87.35942,
Liberia,89.3,19.1,11.8,92.6,700,5.47,60.8,5.02,327,LBR,97.0,8.09817886,1.4,59.21,801.0,0.036,302.0,63.0,,59.4030316392756,31.7,38.38889,36.6
Libya,16.6,65.6,3.88,42.1,29600,14.2,76.1,2.41,12100,LBY,13.8,5.17777824,0.1,71.3,77.0,2.037,33.0,94.0,2.0,,,,10.2
Lithuania,6.1,65.3,7.04,67.2,21100,2.38,73.2,1.5,12000,LTU,5.1,6.22244453,0.2,74.5170731707317,9.0,4.306,79.0,93.0,,99.8199996948242,1.7,98.15362,2.5
Luxembourg,2.8,175.0,7.77,142.0,91700,3.62,81.3,1.63,105000,LUX,2.6,5.23040915,0.2,82.2292682926829,13.0,2.882,5.3,99.0,,,0.2,93.34251,2.5
North Macedonia,10.4,39.8,7.09,58.1,11400,2.04,74.0,1.47,4540,MKD,11.1,6.28993368,0.1,75.4512195121951,4.0,3.021,20.0,95.0,0.4,,6.4,89.23011,3.6
Madagascar,62.2,25.0,3.77,43.0,1390,8.79,60.8,4.6,413,MDG,65.7,4.46240282,0.3,63.261,477.0,0.173,221.0,68.0,,71.5699996948242,67.3,95.60378,32.1
Malawi,90.5,22.8,6.59,34.9,1030,12.1,53.1,5.31,459,MWI,60.0,6.89776182,9.9,61.651,367.0,0.031,228.0,91.0,,72.8266778164735,71.7,,15.5
Malaysia,7.9,86.9,4.39,71.0,21100,7.27,74.5,2.15,9070,MYS,8.1,3.71036959,0.4,75.345,30.0,1.484,110.0,97.0,,94.879997253418,0.1,99.8924,3.8
Maldives,13.2,77.6,6.33,65.4,10500,2.88,77.9,2.23,7100,MDV,10.6,7.91345072,0.1,78.187,43.0,1.862,50.0,99.0,0.8,98.6100006103516,0.1,96.13286,
Mali,137.0,22.8,4.98,35.1,1870,4.37,59.5,6.55,708,MLI,114.4,4.48158312,1.2,57.482,507.0,0.097,64.0,66.0,68.3,33.0699996948242,29.4,59.28886,5.0
Malta,6.8,153.0,8.65,154.0,28300,3.83,80.3,1.36,21100,MLT,6.7,8.88463974,0.2,81.8951219512195,8.0,3.604,10.0,99.0,,93.3099975585938,0.0,98.90359,2.5
Mauritania,97.4,50.7,4.41,61.2,3320,18.9,68.2,4.98,1200,MRT,50.6,3.46724391,0.3,66.207,484.0,0.162,112.0,81.0,,62.0699996948242,11.7,76.29421,6.3
Mauritius,15.0,51.2,6.0,62.2,15900,1.13,73.4,1.57,8000,MUS,14.7,5.38024664,,74.1943902439024,60.0,1.88,16.0,97.0,,91.4899978637695,1.1,96.16563,6.8
"Micronesia, Federated States of",40.0,23.5,14.2,81.0,3340,3.8,65.4,3.46,2860,FSM,30.7,11.83491802,,65.294,178.0,,391.0,77.0,,,26.1,86.23183,
Moldova,17.2,39.2,11.7,78.5,3910,11.1,69.7,1.27,1630,MDA,15.8,8.73206043,0.9,70.241,20.0,3.091,123.0,90.0,,99.3600006103516,0.0,87.14635,3.8
Mongolia,26.1,46.7,5.44,56.7,7710,39.2,66.2,2.64,2650,MNG,20.4,4.20989752,0.1,70.5831707317073,56.0,3.193,428.0,99.0,7.3,98.2600021362305,0.8,94.62431,10.6
Montenegro,6.8,37.0,9.11,62.7,14000,1.6,76.4,1.77,6680,MNE,4.6,8.00086784,0.1,76.3390243902439,7.0,2.17,27.0,91.0,1.2,98.4400024414062,3.9,93.97655,2.5
Morocco,33.5,32.2,5.2,43.0,6440,0.976,73.5,2.58,2830,MAR,24.5,5.41626596,0.1,72.522,106.0,0.913,99.0,99.0,6.4,64.2600021362305,3.7,93.26164,3.9
Mozambique,101.0,31.5,5.21,46.2,918,7.64,54.5,5.56,419,MOZ,79.7,6.24013042,12.7,57.965,210.0,0.077,361.0,85.0,,56.0400009155273,74.4,89.91204,32.6
Myanmar,64.4,0.109,1.97,0.0659,3720,7.04,66.8,2.41,988,MMR,52.4,4.14940882,0.9,64.994,228.0,0.638,411.0,88.0,38.3,90.3600006103516,18.2,96.1312,5.5
Namibia,56.0,47.8,6.78,60.7,8460,3.56,58.6,3.6,5190,NAM,50.0,8.4089098,12.6,59.311,369.0,0.567,674.0,88.0,40.9,88.2699966430664,22.9,97.22695,22.5
Nepal,47.0,9.58,5.25,36.4,1990,15.1,68.3,2.61,592,NPL,39.7,5.07549381,0.2,67.812,245.0,0.681,276.0,92.0,,59.6300010681152,22.1,98.79036,8.2
Netherlands,4.5,72.0,11.9,63.6,45500,0.848,80.7,1.79,50300,NLD,4.1,10.45699596,0.2,81.7073170731707,5.0,3.392,5.5,96.0,,,0.1,96.42447,2.5
New Zealand,6.2,30.3,10.1,28.0,32300,3.73,80.9,2.17,33700,NZL,5.8,8.97204113,0.1,81.4568292682927,7.0,2.889,7.9,93.0,,,,97.41885,2.5
Niger,123.0,22.2,5.16,49.1,814,2.55,58.8,7.49,348,NER,126.8,4.45377159,0.3,58.693,497.0,0.027,104.0,82.0,,29.0437067944143,60.3,60.13331,13.7
Nigeria,130.0,25.3,5.07,17.4,5150,104.0,60.5,5.84,2330,NGA,118.7,3.34840417,1.8,51.94,1155.0,0.428,219.0,43.0,,58.2200012207031,35.8,64.13783,11.1
Norway,3.2,39.7,9.48,28.5,62300,5.95,81.0,1.95,87800,NOR,2.8,9.28297901,0.1,82.1,2.0,4.429,6.9,93.0,,,0.1,99.82749,2.5
Oman,11.7,65.7,2.77,41.2,45300,15.6,76.1,2.9,19300,OMN,11.2,3.13740134,0.1,79.03,15.0,2.162,13.0,99.0,,93.0400009155273,,93.88526,6.8
Pakistan,92.1,13.5,2.2,19.4,4280,10.9,65.3,3.85,1040,PAK,77.2,2.48899078,0.1,65.374,211.0,0.818,270.0,69.0,38.3,55.5900001525879,16.9,65.75982,14.2
Panama,19.7,70.0,8.1,78.2,15400,2.59,77.8,2.62,8080,PAN,17.3,6.91532087,1.0,77.365,49.0,1.588,52.0,80.0,,94.0899963378906,6.4,90.58017,7.1
Paraguay,24.1,55.1,5.87,51.5,7290,6.1,74.1,2.73,3230,PRY,22.7,6.62719059,0.4,73.415,70.0,,54.0,93.0,4.5,95.0599975585938,4.3,87.19751,2.5
Peru,20.3,27.8,5.08,23.8,9960,5.71,77.9,2.54,5020,PER,17.2,4.90967321,0.4,75.26,73.0,1.307,136.0,88.0,,93.7099990844727,8.0,92.54948,5.3
Philippines,31.9,34.8,3.61,36.6,5600,4.22,69.0,3.16,2130,PHL,28.0,3.70313668,0.1,69.311,106.0,0.589,546.0,80.0,,96.4000015258789,14.6,95.36339,12.9
Poland,6.0,40.1,7.46,42.1,21800,1.66,76.3,1.41,12600,POL,5.0,6.39059496,,77.6024390243903,2.0,2.292,22.0,98.0,,,0.6,96.0052,2.5
Portugal,3.9,29.9,11.0,37.4,27200,0.643,79.8,1.39,22500,PRT,3.6,9.33570766,0.6,81.1219512195122,11.0,4.562,24.0,98.0,,94.4800033569336,0.8,98.39988,2.5
Qatar,9.0,62.3,1.81,23.8,125000,6.98,79.5,2.07,70300,QAT,8.1,2.42293572,0.1,81.395,6.0,1.927,30.0,89.0,,97.4800033569336,0.0,89.28562,
Romania,11.5,32.6,5.58,38.8,17800,3.53,73.7,1.59,8230,ROU,9.9,5.0276823,0.1,74.909756097561,18.0,2.69,99.0,94.0,,98.5999984741211,8.9,86.27801,2.5
Russian Federation,10.0,29.2,5.08,21.1,23100,14.2,69.2,1.57,10700,RUS,8.9,5.1820941,,70.7436585365854,16.0,4.12,70.0,97.0,,99.6800003051758,0.4,94.3729,2.5
Rwanda,63.6,12.0,10.5,30.0,1350,2.61,64.6,4.51,563,RWA,49.2,6.98448992,3.3,65.088,301.0,0.089,68.0,98.0,,70.8000030517578,65.2,98.84059,37.1
Samoa,18.9,29.2,6.47,53.1,5400,1.72,71.5,4.34,3450,WSM,18.5,6.36147165,,71.142,106.0,0.329,11.0,78.0,,98.9700012207031,4.5,96.01723,4.4
Saudi Arabia,15.7,49.6,4.29,33.0,45400,17.2,75.1,2.96,19300,SAU,9.6,5.15800905,0.1,77.116,8.0,2.371,12.0,98.0,,94.4300003051758,,97.28258,2.7
Senegal,66.8,24.9,5.66,40.3,2180,1.85,64.0,5.06,1000,SEN,53.7,4.38962269,0.4,66.001,373.0,0.2074,170.0,89.0,,43.5299987792969,53.3,73.74412,11.1
Serbia,7.6,32.9,10.4,47.9,12700,5.88,74.7,1.4,5410,SRB,6.6,8.85966778,0.1,75.3365853658537,13.0,3.03,37.0,93.0,,97.9599990844727,8.9,96.24177,2.5
Seychelles,14.4,93.8,3.4,108.0,20400,-4.21,73.4,2.17,10800,SYC,14.5,4.43609142,,73.2292682926829,46.0,1.849,12.0,99.0,,93.9499969482422,1.6,94.46217,4.9
Sierra Leone,160.0,16.8,13.1,34.5,1220,17.2,55.0,5.2,399,SLE,135.9,15.11886978,1.6,54.281,821.0,,455.0,83.0,,44.3698913332904,53.7,95.11907,23.2
Singapore,2.8,200.0,3.96,174.0,72100,-0.046,82.7,1.15,46600,SGP,2.7,3.87132597,0.1,82.4951219512195,9.0,2.15,47.0,96.0,,96.5500030517578,,99.69504,
Slovak Republic,7.0,76.3,8.79,77.8,25200,0.485,75.5,1.43,16600,SVK,6.3,6.86543369,0.1,76.8121951219512,5.0,3.43,7.5,97.0,,,0.9,83.89503,5.7
Slovenia,3.2,64.3,9.41,62.9,28700,-0.987,79.5,1.57,23400,SVN,2.7,8.58487225,0.1,81.0780487804878,6.0,2.775,8.7,95.0,,,0.0,98.14499,2.5
Solomon Islands,28.1,49.3,8.55,81.2,1780,6.81,61.7,4.24,1290,SLB,25.4,4.88962364,0.1,68.984,147.0,0.181,137.0,77.0,,,40.3,70.22557,19.0
South Africa,53.7,28.6,8.94,27.4,12000,6.35,54.3,2.59,7280,ZAF,39.7,7.87136555,18.3,63.184,162.0,0.74,1070.0,85.0,6.3,94.1399993896484,27.9,84.35479,6.4
South Korea,4.1,49.4,6.93,46.2,30400,3.16,80.1,1.23,22100,KOR,3.6,6.24487352,,81.7219512195122,7.0,2.21,85.0,99.0,,97.9700012207031,0.3,95.3693,2.5
Spain,3.8,25.5,9.54,26.8,32500,0.16,81.9,1.37,30700,ESP,3.4,9.1512289,0.4,83.2292682926829,4.0,3.781,12.0,97.0,,98.0800018310547,0.9,99.47472,2.5
